Book Name,Author,Language,Category,ISBN,Book Tags,Similar Books
Rau (राऊ),N.S. Inamdar,Marathi,Historical Fiction,ISBN Not available,Marathi Literature|Historical Fiction|Romance|Indian History,Panipat - Vishwas Patil|Mrutyunjay - Shivaji Sawant|Yayati - V.S. Khandekar
Partner,V.P. Kale,Marathi,Marathi Literature & Social Fiction,ISBN Not available,Marathi Literature|Social Fiction|Family Drama|Contemporary Fiction,Vapurza - V.P. Kale|Yayati - V.S. Khandekar|Panipat - Vishwas Patil
Ravana Raja Rakshasancha,Sharad Tandale,Marathi,Mythology & Retelling,ISBN Not available,Mythology|Biography|Marathi Literature,Mrutyunjay - Shivaji Sawant|Asura - Anand Neelakantan|Yugandhar - Shivaji Sawant
Scion of Ikshvaku,Amish Tripathi,English,Mythology & Epic Fantasy,978-9385152146,Mythology|Epic Fantasy|Indian Fiction|Historical Fantasy,"The
                                                Oath of the Vayuputras - Amish Tripathi|Asura - Anand Neelakantan|Ajaya: Roll of the Dice - Anand Neelakantan"
Siddhartha,Hermann Hesse,English,Spiritual & Philosophy,978-0142437186,Spiritual Fiction|Philosophy|Eastern Philosophy|Classic Literature,The Alchemist - Paulo Coelho|Autobiography of a Yogi - Paramahansa Yogananda|The Prophet - Kahlil Gibran
Subterranean,James Rollins,English,Adventure & Thriller,978-0380809516,Adventure|Thriller|Sci-Fi|Action,Excavation - James Rollins|Amazonia - James Rollins|Jurassic Park - Michael Crichton
The 5 AM Club,Robin Sharma,English,Self-Help & Productivity,978-1443456623,Self-Help|Productivity|Personal Development|Success,"Atomic Habits - James Clear|The Miracle Morning - Hal Elrod|The 7 Habits of Highly Effective
                                                People - Stephen Covey"
The 7 Habits of Highly Effective People,Stephen R. Covey,English,Personal Development & Leadership,978-1982137274,Personal Development|Self-Help|Leadership|Business,"Atomic Habits - James Clear|How to Win Friends and Influence
                                                People - Dale Carnegie|Think and Grow Rich - Napoleon Hill"
The Alchemist,Paulo Coelho,English,Inspirational Fiction,978-0062315007,Inspirational Fiction|Adventure|Self-Help|Spiritual,Siddhartha - Hermann Hesse|The Monk Who Sold His Ferrari - Robin Sharma|Life of Pi - Yann Martel
The Almanack of Naval Ravikant,Eric Jorgenson,English,Philosophy & Business,978-1544514222,Philosophy|Business|Self-Help,The Psychology of Money - Morgan Housel|Zero to One - Peter Thiel|Principles - Ray Dalio
The Andromeda Strain,Michael Crichton,English,Sci-Fi Thriller,ISBN Not available,Sci-Fi|Techno-Thriller|Suspense,Jurassic Park - Michael Crichton|The Stand - Stephen King|Contagion - Robin Cook
The Big Questions of Life,Om Swami,English,Philosophy & Spirituality,978-9388423632,Philosophy|Spirituality|Self-Help,Man's Search for Meaning - Viktor Frankl|The Power of Now - Eckhart Tolle|Autobiography of a Yogi - Paramahansa Yogananda
The Compound Effect,Darren Hardy,English,Self-Help & Personal Development,978-1593157241,Self-Help|Business|Personal Development,Atomic Habits - James Clear|The Slight Edge - Jeff Olson|Mini Habits - Stephen Guise
The Da Vinci Code,Dan Brown,English,Mystery & Thriller,978-0307474278,Mystery|Thriller|Religious Fiction|Art History,"Angels and
                                                Demons - Dan Brown|The Last Templar - Raymond Khoury|The Rule of Four - Ian Caldwell"
The Great Zoo of China,Matthew Reilly,English,Action Thriller & Adventure,978-1476749532,Action|Thriller|Adventure|Sci-Fi,Altar of Eden - James Rollins|Jurassic Park - Michael Crichton|Meg - Steve Alten
The Immortals of Meluha,Amish,English,Mythology & Fantasy,978-9380658742,Mythology|Fantasy|Historical Fiction,"The Secret of
                                                the Nagas - Amish|The Palace of Illusions - Chitra Banerjee Divakaruni|Asura - Anand Neelakantan"
The Last Templar,Raymond Khoury,English,Historical Thriller,978-0451222688,Historical Thriller|Mystery|Action Adventure|Religious Conspiracy,"The Da Vinci
                                                Code - Dan Brown|The Templar Legacy - Steve Berry|The Eighth Scroll - Laurence B. Brown"
The Laws of Human Nature,Robert Greene,English,Psychology & Philosophy,978-0525428145,Psychology|Philosophy|Self-Help,48 Laws of Power - Robert Greene|Influence - Robert Cialdini|How to Win Friends - Dale Carnegie
The Lost City,Clive Cussler,English,Adventure & Underwater Thriller,978-0425206423,Adventure|Thriller|Underwater Fiction|Action,Deep Fathom - James Rollins|Excavation - James Rollins|Atlantis Found - Clive Cussler
The Miracle Morning,Hal Elrod,English,Productivity & Morning Routine,978-0979019715,Productivity|Self-Help|Morning Routine|Personal Growth,The 5 AM Club - Robin Sharma|Atomic Habits - James Clear|Make Your Bed - William H. McRaven
The Oath of the Vayuputras,Amish Tripathi,English,Mythology & Fantasy,978-9381626726,Mythology|Fantasy|Indian Fiction|Epic Fiction,"The
                                                Immortals of Meluha - Amish Tripathi|Scion of
                                                Ikshvaku - Amish Tripathi|Asura - Anand Neelakantan"
The Power of Habit,Charles Duhigg,English,Psychology & Business,978-0812981605,Psychology|Self-Help|Business,Atomic Habits - James Clear|Tiny Habits - BJ Fogg|The Power of Now - Eckhart Tolle
The Power of Your Subconscious Mind,Joseph Murphy,English,Self-Help & Spirituality,978-1585424009,Self-Help|Psychology|Spirituality,The Secret - Rhonda Byrne|Think and Grow Rich - Napoleon Hill|You Can Heal Your Life - Louise Hay
The Psychology of Money,Morgan Housel,English,Finance & Psychology,978-0857197689,Finance|Psychology|Personal Development,Rich Dad Poor Dad - Robert Kiyosaki|Think and Grow Rich - Napoleon Hill|The Intelligent Investor - Benjamin Graham
The Secret of the Nagas,Amish,English,Mythology & Fantasy,978-9380658698,Mythology|Fantasy|Thriller,The Oath of the Vayuputras - Amish|Chanakya's Chant - Ashwin Sanghi|Scion of Ikshvaku - Amish
The Subtle Art of Not Giving a F*ck,Mark Manson,English,Self-Help & Philosophy,978-0062457714,Self-Help|Philosophy|Humor,Everything is F*cked - Mark Manson|You Are a Badass - Jen Sincero|101 Essays - Brianna Wiest
"Thinking, Fast and Slow",Daniel Kahneman,English,Psychology & Behavioral Economics,978-0374533557,Psychology|Behavioral Economics|Science,Predictably Irrational - Dan Ariely|Nudge - Richard Thaler|Influence - Robert Cialdini
                                                Ikshvaku - Amish Tripathi|Asura - Anand Neelakantan"
The Power of Habit,Charles Duhigg,English,Psychology & Business,978-0812981605,Psychology|Self-Help|Business,Atomic Habits - James Clear|Tiny Habits - BJ Fogg|The Power of Now - Eckhart Tolle
The Power of Your Subconscious Mind,Joseph Murphy,English,Self-Help & Spirituality,978-1585424009,Self-Help|Psychology|Spirituality,The Secret - Rhonda Byrne|Think and Grow Rich - Napoleon Hill|You Can Heal Your Life - Louise Hay
The Psychology of Money,Morgan Housel,English,Finance & Psychology,978-0857197689,Finance|Psychology|Personal Development,Rich Dad Poor Dad - Robert Kiyosaki|Think and Grow Rich - Napoleon Hill|The Intelligent Investor - Benjamin Graham
The Secret of the Nagas,Amish,English,Mythology & Fantasy,978-9380658698,Mythology|Fantasy|Thriller,The Oath of the Vayuputras - Amish|Chanakya's Chant - Ashwin Sanghi|Scion of Ikshvaku - Amish
The Subtle Art of Not Giving a F*ck,Mark Manson,English,Self-Help & Philosophy,978-0062457714,Self-Help|Philosophy|Humor,Everything is F*cked - Mark Manson|You Are a Badass - Jen Sincero|101 Essays - Brianna Wiest
"Thinking, Fast and Slow",Daniel Kahneman,English,Psychology & Behavioral Economics,978-0374533557,Psychology|Behavioral Economics|Science,Predictably Irrational - Dan Ariely|Nudge - Richard Thaler|Influence - Robert Cialdini
Vapurza,V.P. Kale,Marathi,Marathi Historical & Social,ISBN Not available,Marathi Literature|Literary Fiction|Drama|Social Commentary,"Partner - V.P. Kale|Chimanee
                                                Pakhar - Shanta Shelke|Vyakti Ani
                                                Valli - P.L. Deshpande"
Vyakti ani Valli,Pu La Deshpande,Marathi,Marathi Biography & Essays,ISBN Not available,Marathi Literature|Biography|Humor|Character Sketches,"Batatyachi
                                                Chal - P.L. Deshpande|Apurvai - P.L. Deshpande|One for the
                                                Road - V.P. Kale"
Yayati (ययाति),V.S. Khandekar,Marathi,Marathi Classic & Mythology,ISBN Not available,Marathi Literature|Mythology|Classic|Philosophy,Mrutyunjay - Shivaji Sawant|Partner - V.P. Kale|Panipat - Vishwas Patil
Wings of Fire,Dr. APJ Abdul Kalam,English,Biography & Memoir,978-8173711466,Biography|Autobiography|Science|Inspirational,Man's Search for Meaning - Viktor Frankl|Long Walk to Freedom - Nelson Mandela|My Experiments with Truth - Mahatma Gandhi
The Fourth Protocol,Frederick Forsyth,English,Mystery & Thriller,ISBN Not available,Political Thriller|Espionage|Cold War|Suspense,Arctic Storm Rising - Dale Brown|Ice Hunt - James Rollins|The Andromeda Strain - Michael Crichton
Swami,Ranjit Desai,Marathi,Historical Fiction,ISBN Not available,Historical Fiction|Marathi Literature|Leadership|Peshwa Era,Panipat - Vishwas Patil|Mrutyunjay - Shivaji Sawant|Yayati - V.S. Khandekar
Santorini,Alistair MacLean,English,Mystery & Thriller,978-0449217719,Thriller|Espionage|Adventure|Suspense,The Fourth Protocol - Frederick Forsyth|Arctic Storm Rising - Dale Brown|Ice Hunt - James Rollins
